method,scope,repeat,fold,auc,bce,f1,balanced_accuracy,selected_encoder_epoch,threshold_hc,mean_identity_loss,mean_prototype_loss,prototype_active,mean_min_prototype_occupancy,mean_max_prototype_occupancy,n_test,status
baseline,internal_fold,5,7,0.6927867151011935,0.6302546768715742,0.6666666666666666,0.6331084587441619,20.0,0.46967387199401855,0.05838089697062969,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,5,7,0.7239231966787754,0.5996070865930917,0.6990291262135921,0.6390762843798651,46.0,0.5071906447410583,0.0895230944082141,0.9473174672325452,6.0,8.434166666666666,12.404166666666667,88,PASS
baseline,internal_fold,5,8,0.5666839647119875,0.7163628581473929,0.5813953488372093,0.5952257394914375,14.0,0.4610981047153473,0.06049569665143887,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,5,8,0.574468085106383,0.714029565296215,0.5135135135135135,0.604566683964712,14.0,0.40122348070144653,0.09377760972517232,0.9524068796634674,6.0,8.496666666666666,12.281666666666666,88,PASS
baseline,internal_fold,5,9,0.7311883757135443,0.6037610161713229,0.6851851851851852,0.6009340944473275,50.0,0.5065944790840149,0.05142409154990067,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,5,9,0.7093928386092372,0.6319413248756927,0.7102803738317757,0.6359626362221069,11.0,0.531128466129303,0.0834879070178916,0.9346657910943031,6.0,8.561666666666667,12.1825,88,PASS
baseline,caltech,5,external,0.6461988304093568,0.6718297422803936,0.6511627906976745,0.5906432748538011,3.0,0.5212223529815674,0.05049427148482729,nan,0.0,nan,nan,37,PASS
baseline,abide2,5,external,0.7331388206388206,0.6047020013573848,0.7164887307236062,0.661632371007371,3.0,0.5212223529815674,0.05049427148482729,nan,0.0,nan,nan,727,PASS
treatment,caltech,5,external,0.672514619883041,0.6649767455925764,0.6046511627906976,0.5365497076023392,19.0,0.5913355350494385,0.07541818185942248,0.9606454887560436,6.0,8.411428571428571,12.299285714285714,37,PASS
treatment,abide2,5,external,0.7389127764127765,0.6016099662713097,0.7386990077177508,0.6537354115479115,19.0,0.5913355350494385,0.07541818185942248,0.9606454887560436,6.0,8.411428571428571,12.299285714285714,727,PASS
baseline,internal_oof,5,all,0.716627537989216,0.6130356294644953,0.6688311688311688,0.6525218647609711,27.6,nan,0.059790354935840395,nan,0.0,nan,nan,882,PASS
treatment,internal_oof,5,all,0.7028920822476201,0.6225922174439513,0.6797927461139897,0.6463584530842857,17.3,nan,0.08890685104609777,0.9471407917936643,6.0,8.40475,12.407250000000001,882,PASS
baseline,internal_fold,6,0,0.696048632218845,0.6141070058083268,0.7058823529411765,0.5896656534954408,32.0,0.5995782017707825,0.04921712067288657,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,6,0,0.7122593718338399,0.6149398474901078,0.6930693069306931,0.6461499493414387,15.0,0.4751116931438446,0.07825785892705123,0.962950770954291,6.0,8.036666666666667,12.856666666666667,89,PASS
baseline,internal_fold,6,1,0.7051671732522796,0.6544009482286945,0.7102803738317757,0.6423505572441742,17.0,0.5890369415283203,0.049940054930436115,nan,0.0,nan,nan,89,PASS
treatment,internal_fold,6,1,0.7006079027355624,0.652823817374396,0.7128712871287127,0.668693009118541,5.0,0.48926588892936707,0.07905689090878393,0.9725880047678948,6.0,8.374166666666667,12.456666666666667,89,PASS
baseline,internal_fold,6,2,0.7313664596273292,0.5894498273167543,0.7619047619047619,0.708592132505176,23.0,0.5099346041679382,0.12373022823710926,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,6,2,0.7215320910973085,0.6047894706484249,0.6595744680851064,0.634575569358178,11.0,0.4662506580352783,0.13518777586519717,0.9870799593130748,6.0,8.104166666666666,12.645,88,PASS
baseline,internal_fold,6,3,0.7101449275362319,0.6234086461781856,0.5714285714285714,0.6319875776397516,42.0,0.40483587980270386,0.05792804248941441,nan,0.0,nan,nan,88,PASS
treatment,internal_fold,6,3,0.677536231884058,0.6424293149098115,0.5853658536585366,0.6180124223602484,42.0,0.469221293926239,0.0879393464854608,0.96819049735864,6.0,8.57,12.184166666666666,88,PASS
